PTC,VN000000PTC8,BBG000P5S9B8,"67,40","58,60","63,00","63,40","58,60","-4,40","-6,98","58,60","63,40","59,20","6.545,00","38.744,67"
PTL,VN000000PTL9,BBG001645YS2,"15,35","13,35","14,35","14,45","14,35","0,00","0,00","14,15","14,45","14,32","5.799,00","8.303,23"
PVD,VN000000PVD2,BBG000QFVBX2,"37,90","33,00","35,45","35,40","34,40","-1,05","-2,96","34,35","35,40","34,73","65.733,00","228.305,23"
PVT,VN000000PVT8,BBG000LZ5FZ1,"27,05","23,55","25,30","25,25","25,80","0,50","1,98","24,80","26,25","25,44","47.450,00","120.703,99"
PXI,VN000000PXI7 ,BBG000BBWQ45,"7,91","6,89","7,40","7,31","7,39","-0,01","-0,14","7,31","7,44","7,40","2.381,00","1.762,84"
PXS,VN000000PXS6,BBG000QZ8Z07,"13,30","11,60","12,45","12,40","12,40","-0,05","-0,40","12,30","12,70","12,45","7.183,00","8.942,34"
QBS,VN000000QBS0,BBG007H4BS94,"8,23","7,17","7,70","7,88","7,55","-0,15","-1,95","7,52","7,90","7,73","23.393,00","18.072,53"
QCG,VN000000QCG3,BBG000JVZTR9,"13,45","11,75","12,60","12,80","13,45","0,85","6,75","12,70","13,45","13,26","5.812,00","7.707,70"
RAL,VN000000RAL5,BBG000QFVDC1,"141,00","122,60","131,80","131,90","131,00","-0,80","-0,61","130,10","132,00","130,95","172,00","2.252,34"
RDP,VN000000RDP0,BBG000PBYT51,"19,15","16,65","17,90","19,00","19,15","1,25","6,98","18,30","19,15","19,11","8.329,00","15.919,01"
REE,VN000000REE2,BBG000Q5Y2H9,"76,10","66,30","71,20","71,60","71,80","0,60","0,84","71,30","72,50","71,80","2.937,00","21.088,67"
RIC,VN000000RIC7,BBG000RT5PQ7,"21,55","18,75","20,15","21,55","21,55","1,40","6,95","21,55","21,55","21,55","443,00","954,67"
ROS,VN000000ROS1,BBG00DQ063Z1,"8,78","7,64","8,21","8,25","8,53","0,32","3,90","8,22","8,60","8,37","150.625,00","126.046,33"
S4A,VN000000S4A5,BBG00CSQ4NB8,"39,05","33,95","36,50","35,50","36,20","-0,30","-0,82","35,50","36,20","35,97","74,00","266,20"
SAB,VN000000SAB4,BBG000V9NP31,"164,70","143,30","154,00","154,00","154,00","0,00","0,00","152,20","154,00","153,19","417,00","6.388,11"
SAM,VN000000SAM1,BBG000Q1YHR4,"20,20","17,60","18,90","19,00","19,40","0,50","2,65","18,90","19,80","19,42","15.032,00","29.186,80"
SAV,VN000000SAV2,BBG000MC1X95,"31,00","27,00","29,00","29,00","28,60","-0,40","-1,38","28,10","29,00","28,38","261,00","740,63"
SBA,VN000000SBA4,BBG000QVRG16,"21,10","18,40","19,75","19,85","19,80","0,05","0,25","19,70","19,85","19,71","187,00","368,59"
SBT,VN000000SBT4,BBG000DWVH11,"24,60","21,40","23,00","23,20","23,20","0,20","0,87","23,00","23,60","23,30","34.349,00","80.030,78"
SBV,VN000000SBV0,BBG00DR8HYH3,"17,90","15,60","16,75","16,80","17,20","0,45","2,69","16,80","17,35","17,04","1.236,00","2.106,69"
SC5,VN000000SC59,BBG000QWQNK9,"25,25","21,95","23,60","23,00","23,05","-0,55","-2,33","23,00","23,70","23,42","12,00","28,10"
SCD,VN000000SCD6,BBG000QMWS69,"21,50","18,70","20,10","20,00","20,20","0,10","0,50","20,00","20,20","20,12","104,00","209,28"
SCR,VN000000SCR6,BBG0018DKFN9,"24,15","21,05","22,60","22,80","23,40","0,80","3,54","22,80","23,85","23,35","175.400,00","409.559,76"
